OBJECTID,Id,Name,Type,ElevationGain,Duration,Features,Description,Notes,Surface,ActivityTags,RouteType,ImageURL,Symbol,ShapeSTLength
34,0,Cowiche Canyon Hike,2,,,,"The hike is special primarily because of the striking scenic vistas of the vast arid shrub-steppe portion of Eastern Washington it provides. This hike begins at the Rocky Top trailhead kiosk, but rather than following the most visible gravel path, this t",Map1,Nature,"Bike, Hike, Horse, Ski",Out & Back,cowiche.jpg,1,14591.56701
36,0,SNOW MOUNTAIN RANCH BALANCED ROCK TRAIL,2,-4,0:10:09,,"The Balanced Rock Trail starts from an intersection with the Cowiche Mountain Trail West at the mouthof the ravine and climbs out of the ravine to a junction with the Wildflower Trail. The trail then headssoutheast, providing a spectacular view of the valley, and the “Balanced Rock” for which it is named, as itpasses along the top of the basalt columns. At the end of the hillside traverse, the trail drops down tomeet the Ditch Bank Trail.",Map4,Nature,"Bike, Hike, Horse, Ski",Out & Back,cowiche.jpg,1,1500.733412
37,0,SNOW MOUNTAIN RANCH DITCH BANK TRAIL,2,,0:06:00,,"The Ditch Bank Trail starts just to the left (east) of the kiosk and follows the ditch rider’s road along theold Tieton Irrigation Canal. As it curves east it passes under the row of basalt columns and proceeds tothe east boundary of the ranch. The Balanced Rock Trail,, the east leg of the Cowiche Mountain Trail, andthe Riparian Trail-East all connect with this trail.",Map4,Nature,"Bike, Hike, Horse, Ski",Out & Back,cowiche.jpg,1,4524.090661
38,0,SNOW MOUNTAIN TRAIL AND BRIDGES,2,,,,"The hike is special primarily because of the striking scenic vistas of the vast arid shrub-steppe portion of Eastern Washington it provides. This hike begins at the Rocky Top trailhead kiosk, but rather than following the most visible gravel path, this t",Map4,Nature,"Bike, Hike, Horse, Ski",Out & Back,cowiche.jpg,1,1616.743682
39,0,SNOW MOUNTAIN RANCH RIPARIAN OVERLOOK TRAIL,2,,,,This short trail starts from the Riparian Trail-West just west of the junction with the west leg of the Cowiche MountainTrail at the mouth of the ravine and climbs the hillside in gentle switchbacks to an overlook above the pasture lands.Enjoy views of the riparian bottom lands along Cowiche Creek nestled under a majestic oak and cottonwood gallery.,Map4,Nature,"Bike, Hike, Horse, Ski",Out & Back,cowiche.jpg,1,3481.867187
40,0,SNOW MOUNTAIN RANCH RIPARIAN TRAIL WEST,2,,,,The Riparian Trail-West goes west from the kiosk along the north (creek) side of the old pasture lands tothe west from the Cowiche Mountain Trail. The route enters a rehabilitated native vegetation (largelybasin wild rye & antelope bitterbrush) area at the west end of the old pasture and continues through anoak-cottonwood grove and across a large dry streambed,Map4,Nature,"Bike, Hike, Horse, Ski",Out & Back,cowiche.jpg,1,3538.969988
42,0,SNOW MOUNTAIN RANCH COWICHE MOUNTAIN TRAIL WEST,2,1140,,,"The west leg of the Cowiche Mountain Trail begins at the kiosk, crosses the floodplain pasture, andenters a broad ravine. There is a trail junction here with both the Balanced Rock Trail and the RiparianTrail-West. The trail goes south up the ravine, eventually curving east and climbing out of the ravine tothe benchlands above and a junction with the Wildflower Trail.",Map4,Nature,"Bike, Hike, Horse, Ski",Out & Back,cowiche.jpg,1,8041.224357
43,0,SNOW MOUNTAIN RANCH WILDFLOWER TRAIL,2,275,0:23:26,,"The Wildflower Trail starts from the top of the hill near the north end of the Balanced Rock Trail and climbsnorth along the bench lands above the ravine, eventually connecting to the west leg of the CowicheMountain Trail. Shortly before the junction with the Cowiche Mountain Trail is the junction with the BenchConnector Trail. The views of the surrounding area, the frequent wildlife, as well the seasonal flowers arespectacular along this trail.",Map4,Nature,"Bike, Hike, Horse, Ski",Out & Back,cowiche.jpg,1,5416.04778
44,0,SNOW MOUNTAIN RANCH RIPARIAN TRAIL EAST,2,,,,"The Riparian Trail-East starts at the kiosk and heads east along the north edge of the old pasturelands. It follows the creek for a short ways, goes through a tunnel of shrubs, passes the pond, andcontinues along the edge of the trees where it curves southeast and connects with the east end of theDitch Bank Trail.",Map4,Nature,"Bike, Hike, Horse, Ski",Out & Back,cowiche.jpg,1,4102.01391
45,0,SNOW MOUNTAIN RANCH BENCH CONNECTOR TRAIL,2,,,,"The Bench Connector Trail begins near the south end of the Wildflower Trail and travels east along theshrub-steppe bench lands. In season the scenic views and display of several varieties of wild flowers arespectacular. It forms a connector trail between the east and west legs of the Cowiche MountainTrail. Starting on the Cowiche Mountain West Trail from the kiosk, the connector trail forms a scenicloop hike of 3.7 miles with an elevation gain of 370 feet.",Map4,Nature,"Bike, Hike, Horse, Ski",Out & Back,cowiche.jpg,1,5173.818714
46,0,Snow Mtn Ranch Trails,2,,,,"The hike is special primarily because of the striking scenic vistas of the vast arid shrub-steppe portion of Eastern Washington it provides. This hike begins at the Rocky Top trailhead kiosk, but rather than following the most visible gravel path, this t",Map4,Nature,"Bike, Hike, Horse, Ski",Out & Back,cowiche.jpg,1,5581.935852
47,0,SNOW MOUNTAIN RANCH COWICHE MOUNTAIN TRAIL EAST,2,,,,The east leg of the Cowiche Mountain Trail begins at the east end of the Ditch Bank Trail. From the trail junction thetrail traverses west up the hillside then curves north into a ravine which it climbs to the benchlands above. The sceneryin every season is of wide vitas and an expansive display of typical shrub-steppe habitat.,Map4,Nature,"Bike, Hike, Horse, Ski",Out & Back,cowiche.jpg,1,9299.366447
48,0,Cowiche Canyon Winery Trail,2,,,,"A three quarter mile long side trail connects the Cowiche Canyon Trail with The Tasting Room of Washington & Wilridge Vineyard, and informally connects to the Naches Heights Vineyard. It leaves the main trail just west of bridge #8 and climbs the north hillside to the Tasting Room. This canyon rim area contains bike trails, scenic vistas, and picnic areas",Map5,Nature,"Bike, Hike, Horse, Ski",Out & Back,cowiche.jpg,1,2557.236805
49,0,Rocky Top Loop Trail,2,,,,"The hike is special primarily because of the striking scenic vistas of the vast arid shrub-steppe portion of Eastern Washington it provides. This hike begins at the Rocky Top trailhead kiosk, but rather than following the most visible gravel path, this trail starts on the gravel driveway at the southeast end of the parking area and follows the edge of an old irrigation canal to the South beside an orchard.",Map3,Nature,"Bike, Hike, Horse, Ski",Loop,rockytop.jpg,1,12922.85054
50,,Cowiche Canyon Uplands Trail,2,,,,"The uplands area of the Cowiche Canyon Conservancy offers the visitor many delights. From its high point located atop Cowiche Knoll, visitors can enjoy a 360 degree view of the valley and surrounding hilltops. The trails wander through areas of native plants and wildflowers, some of which are only found in Central Washington. As the nearby Yakima urban area continues to expand west, the uplands area has become one of the few easily accessible areas for escape",Map5,Nature,"Bike, Hike, Horse, Ski",Out & Back,cowiche.jpg,1,4930.264399
512,0,WILLIAM O DOUGLAS,2,,,,"The William O. Douglas Trail is an 80-mile recreational pathway which courses through the City of Yakima, traverses Yakima County, and reaches portions of Lewis and Pierce Counties, connecting to Mount Rainier National Park.  It is named after influential Supreme Court Justice William O. Douglas, perhaps the most famous person to grow up in Yakima and the longest serving Justice in United States history.",Map,,,Out & Back,wod.jpg,2,299115.6712
527,,GREENWAY,1,,,,"A continuous, 10 mile paved walking/biking path system including the Noel Pathway (between Sarg Hubbard and Sherman Parks), Jewett Pathway (between Nob Hill and Valley Mall Blvd.), and Plath Pathway (along the Naches River).",,,,Out & Back,greenway.jpg,3,51544.00732
528,,East Uplands North Loop,2,,,,,Map5,Nature,"Bike,Hike,Horse,Ski",Out & Back,cowiche.jpg,1,3479.498809
529,,East Uplands South Loop,2,,,,,Map5,Nature,"Bike,Hike,Horse,Ski",Out & Back,cowiche.jpg,1,3455.009272
535,,Radio Flyer Loop,2,,,,,Map2,Nature,"Bike,Hike,Horse,Ski",Out & Back,cowiche.jpg,1,4987.947445
536,,Summitview South,2,,,,,Map2,Nature,"Bike,Hike,Horse,Ski",Out & Back,cowiche.jpg,1,4414.623895
538,,Radio ,2,,,,,Map2,Nature,"Bike,Hike,Horse,Ski",Out & Back,cowiche.jpg,1,3173.339531
539,,Radio Flyer Trail,2,,,,,Map2,Nature,"Bike,Hike,Horse,Ski",Out & Back,cowiche.jpg,1,6984.651131
540,,Radio,2,,,,,Map2,Nature,"Bike,Hike,Horse,Ski",Out & Back,cowiche.jpg,1,2067.433972
541,,Lone Pine Trail,2,,,,,Map2,Nature,"Bike,Hike,Horse,Ski",Out & Back,cowiche.jpg,1,1516.583285
543,0,WILLIAM O DOUGLAS,2,,,,"The William O. Douglas Trail is an 80-mile recreational pathway which courses through the City of Yakima, traverses Yakima County, and reaches portions of Lewis and Pierce Counties, connecting to Mount Rainier National Park.  It is named after influential Supreme Court Justice William O. Douglas, perhaps the most famous person to grow up in Yakima and the longest serving Justice in United States history.",Map,,,Out & Back,wod.jpg,2,48200.33005
544,0,WILLIAM O DOUGLAS,2,,,,"The William O. Douglas Trail is an 80-mile recreational pathway which courses through the City of Yakima, traverses Yakima County, and reaches portions of Lewis and Pierce Counties, connecting to Mount Rainier National Park.  It is named after influential Supreme Court Justice William O. Douglas, perhaps the most famous person to grow up in Yakima and the longest serving Justice in United States history.",,,,Out & Back,wod.jpg,2,13637.56308
549,0,Rocky Top Bench,2,,,,"The hike is special primarily because of the striking scenic vistas of the vast arid shrub-steppe portion of Eastern Washington it provides. This hike begins at the Rocky Top trailhead kiosk, but rather than following the most visible gravel path, this t",Map3,Nature,"Bike, Hike","Loop, Out & Back",rockytop.jpg,1,340.2820227
